sample_id,hp_folder,image_number,left_image,right_image,head_rot_x,head_rot_y,head_rot_z,head_pos_x,head_pos_y,head_pos_z,look_at_x,look_at_y,look_at_z,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,left_iris_x,left_iris_y,right_iris_x,right_iris_y,left_crop_xmin,left_crop_ymin,left_crop_xmax,left_crop_ymax,right_crop_xmin,right_crop_ymin,right_crop_xmax,right_crop_ymax
001_12,HP_001,12,001_12.png,001_12.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,5.5,0.0,1484.46265,652.5897,887.7626,653.181763,1476.99512,649.3314,885.005,650.3313,1341,595,1569,709,728,591,984,711
001_13,HP_001,13,001_13.png,001_13.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,11.0,0.0,1482.94873,666.249,886.311951,667.8806,1475.736,660.7881,883.793335,662.649658,1340,614,1568,716,729,610,985,717
001_14,HP_001,14,001_14.png,001_14.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,11.0,0.0,1454.17554,669.265259,855.320068,671.455566,1451.60315,663.2971,857.8341,665.6306,1340,617,1568,717,729,616,983,721
001_15,HP_001,15,001_15.png,001_15.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,11.0,0.0,1421.42578,669.8965,819.6928,672.6841,1424.16638,663.8179,828.002441,666.6575,1340,618,1568,715,729,619,983,724
002_01,HP_002,1,002_01.png,002_01.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,-11.0,0.0,1527.031,797.1599,854.8008,754.158569,1517.90479,802.457031,850.723,761.0427,1377,744,1615,894,667,704,965,862
002_02,HP_002,2,002_02.png,002_02.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,-11.0,0.0,1488.5116,791.394653,811.531,747.4044,1485.62659,797.659668,814.525,755.424561,1377,742,1615,894,667,699,965,861
002_03,HP_002,3,002_03.png,002_03.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,-11.0,0.0,1443.62842,790.282,759.243042,745.5679,1448.07654,796.738647,770.8104,753.8938,1375,743,1615,894,667,698,965,861
002_04,HP_002,4,002_04.png,002_04.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,-5.5,0.0,1442.22034,812.325562,757.121643,770.3761,1446.90308,815.181,769.05304,774.6411,1376,754,1615,898,667,709,964,865
002_05,HP_002,5,002_05.png,002_05.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,-5.5,0.0,1488.45386,813.0316,811.4842,771.353,1485.57568,815.767334,814.489258,775.4542,1377,752,1615,898,667,710,964,865
002_06,HP_002,6,002_06.png,002_06.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,-5.5,0.0,1527.8761,816.244141,855.8376,774.997437,1518.60718,818.4431,851.5876,778.4846,1377,755,1615,898,667,713,965,865
002_07,HP_002,7,002_07.png,002_07.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,0.0,0.0,1527.65881,836.229736,855.777954,796.903931,1518.42749,835.181152,851.538,796.8148,1376,770,1614,905,667,730,964,871
002_08,HP_002,8,002_08.png,002_08.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,0.0,0.0,1488.376,836.006,811.4587,797.046143,1485.51135,834.9884,814.4679,796.9332,1376,771,1614,905,667,731,963,872
002_09,HP_002,9,002_09.png,002_09.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,0.0,0.0,1442.32751,835.7268,757.1505,797.233032,1446.99121,834.7533,769.0762,797.089355,1374,773,1614,904,667,733,963,873
002_10,HP_002,10,002_10.png,002_10.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,5.5,0.0,1443.93042,858.178833,759.3224,822.9758,1448.32532,853.5394,770.8744,818.6134,1373,801,1613,913,668,767,963,886
002_11,HP_002,11,002_11.png,002_11.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,5.5,0.0,1488.28235,858.046265,811.456055,821.7932,1485.43713,853.4354,814.461731,817.6271,1376,798,1613,915,668,760,963,883
002_12,HP_002,12,002_12.png,002_12.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,5.5,0.0,1526.39771,855.5416,854.626343,818.2234,1517.38074,851.3601,850.577759,814.65686,1376,792,1613,913,668,752,964,878
002_13,HP_002,13,002_13.png,002_13.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,11.0,0.0,1524.33386,872.8589,852.6107,837.533447,1515.66626,865.87854,848.8964,830.827,1375,813,1612,922,668,779,964,886
002_14,HP_002,14,002_14.png,002_14.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,11.0,0.0,1488.181,877.3164,811.4717,843.4116,1485.35876,869.5803,814.46814,835.7213,1375,818,1611,924,669,789,963,894
002_15,HP_002,15,002_15.png,002_15.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,11.0,0.0,1446.62427,877.8142,762.971558,845.1089,1450.57,869.9861,773.897766,837.1389,1373,820,1611,921,669,792,963,897
003_01,HP_003,1,003_01.png,003_01.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,-11.0,0.0,1593.52356,1218.2655,988.0048,1224.104,1585.67944,1222.75879,984.7828,1229.56128,1459,1172,1680,1316,820,1181,1095,1333
003_02,HP_003,2,003_02.png,003_02.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,-11.0,0.0,1561.35657,1214.68652,951.9295,1219.61523,1558.71448,1219.77869,954.583252,1225.82031,1459,1173,1680,1316,820,1177,1096,1332
003_03,HP_003,3,003_03.png,003_03.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,-11.0,0.0,1525.03882,1214.25745,910.4386,1218.523,1528.30713,1219.42542,919.8613,1224.90662,1458,1174,1680,1316,820,1176,1096,1331
003_04,HP_003,4,003_04.png,003_04.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,-5.5,0.0,1523.3031,1231.78882,908.0158,1237.76807,1526.85889,1234.10547,917.8508,1241.01782,1458,1179,1680,1317,821,1183,1095,1334
003_05,HP_003,5,003_05.png,003_05.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,-5.5,0.0,1561.312,1231.968,951.8722,1238.51538,1558.67358,1234.25244,954.5393,1241.64233,1460,1179,1680,1317,821,1184,1095,1334
003_06,HP_003,6,003_06.png,003_06.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,-5.5,0.0,1594.71912,1233.93958,989.390259,1241.1604,1586.67358,1235.895,985.9394,1243.84607,1460,1179,1680,1318,821,1186,1095,1334
003_07,HP_003,7,003_07.png,003_07.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,0.0,0.0,1595.21362,1250.86108,990.05,1259.636,1587.085,1250.07178,986.4896,1259.313,1459,1191,1679,1322,821,1196,1094,1338
003_08,HP_003,8,003_08.png,003_08.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,0.0,0.0,1561.25146,1250.94092,951.8281,1259.51526,1558.62146,1250.13525,954.504639,1259.21069,1459,1190,1679,1321,821,1196,1094,1337
003_09,HP_003,9,003_09.png,003_09.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,0.0,0.0,1522.46448,1251.01709,906.772949,1259.35364,1526.15918,1250.198,916.8197,1259.07556,1458,1191,1679,1321,821,1197,1094,1337
003_10,HP_003,10,003_10.png,003_10.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,5.5,0.0,1522.71777,1270.46436,907.043945,1281.38464,1526.36951,1266.47424,917.0437,1277.50415,1457,1210,1679,1327,821,1217,1094,1346
003_11,HP_003,11,003_11.png,003_11.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,5.5,0.0,1561.175,1270.13586,951.8021,1280.91052,1558.55859,1266.2041,954.482239,1277.10852,1459,1209,1679,1328,821,1215,1094,1345
003_12,HP_003,12,003_12.png,003_12.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,5.5,0.0,1594.88757,1267.92993,989.8513,1278.3678,1586.81445,1264.37256,986.324158,1274.99353,1459,1208,1679,1328,821,1213,1094,1343
003_13,HP_003,13,003_13.png,003_13.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,11.0,0.0,1593.7832,1283.96509,988.826538,1296.09021,1585.89685,1277.813,985.4688,1289.83423,1458,1229,1678,1336,822,1234,1094,1349
003_14,HP_003,14,003_14.png,003_14.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,11.0,0.0,1561.0874,1287.94775,951.7947,1300.79346,1558.48853,1281.12354,954.472961,1293.74951,1458,1234,1678,1336,822,1241,1094,1355
003_15,HP_003,15,003_15.png,003_15.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,11.0,0.0,1524.0061,1288.52063,908.751953,1301.71729,1527.44312,1281.59521,918.459534,1294.52148,1456,1235,1678,1334,822,1244,1094,1356
004_01,HP_004,1,004_01.png,004_01.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,-11.0,0.0,1588.5791,1326.21851,990.5305,1353.73535,1580.958,1330.61633,987.539856,1358.8894,1454,1272,1674,1409,827,1299,1095,1447
004_02,HP_004,2,004_02.png,004_02.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,-11.0,0.0,1557.73962,1322.58008,956.2505,1349.9812,1555.10278,1327.58447,958.8378,1355.76062,1454,1271,1674,1408,827,1297,1095,1446
004_03,HP_004,3,004_03.png,004_03.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,-11.0,0.0,1523.03918,1321.76233,917.046448,1349.31763,1526.04419,1326.9054,926.0235,1355.20581,1452,1271,1674,1408,827,1295,1095,1446
004_04,HP_004,4,004_04.png,004_04.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,-5.5,0.0,1521.2395,1338.40918,914.607,1367.52454,1524.54236,1340.8479,923.9983,1370.45068,1453,1280,1674,1411,827,1305,1095,1448
004_05,HP_004,5,004_05.png,004_05.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,-5.5,0.0,1557.72144,1339.0022,956.1964,1367.83313,1555.08374,1341.34143,958.7969,1370.70825,1455,1281,1674,1412,827,1306,1095,1449
004_06,HP_004,6,004_06.png,004_06.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,-5.5,0.0,1589.8584,1341.19788,991.976746,1369.92871,1582.02185,1343.17224,988.7472,1372.45386,1455,1283,1674,1413,827,1309,1095,1450
004_07,HP_004,7,004_07.png,004_07.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,0.0,0.0,1590.518,1357.4884,992.7913,1387.59692,1582.57056,1356.82178,989.4271,1387.24707,1455,1300,1674,1420,828,1323,1095,1455
004_08,HP_004,8,004_08.png,004_08.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,0.0,0.0,1557.69019,1357.19556,956.1516,1387.81348,1555.05579,1356.57385,958.761963,1387.427,1455,1297,1674,1418,828,1322,1095,1455
004_09,HP_004,9,004_09.png,004_09.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,0.0,0.0,1520.21826,1356.85791,913.154846,1388.08044,1523.69019,1356.29053,922.792969,1387.65015,1454,1295,1674,1416,827,1320,1095,1454
004_10,HP_004,10,004_10.png,004_10.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,5.5,0.0,1520.20081,1375.80127,913.0536,1409.34741,1523.67517,1372.14575,922.7082,1405.44165,1453,1317,1674,1424,828,1345,1095,1464
004_11,HP_004,11,004_11.png,004_11.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,5.5,0.0,1557.64514,1375.86084,956.121033,1408.44824,1555.01843,1372.20007,958.7363,1404.69055,1455,1321,1674,1427,828,1346,1095,1465
004_12,HP_004,12,004_12.png,004_12.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,5.5,0.0,1590.41846,1374.1001,992.8235,1405.71045,1582.48828,1370.74,989.4541,1402.41138,1455,1321,1674,1428,828,1344,1095,1462
004_13,HP_004,13,004_13.png,004_13.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,11.0,0.0,1589.56128,1389.90259,992.0612,1423.07471,1581.776,1383.98486,988.8178,1416.95215,1454,1341,1673,1436,829,1365,1095,1470
004_14,HP_004,14,004_14.png,004_14.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,11.0,0.0,1557.58777,1393.46606,956.10614,1427.94873,1554.9729,1386.94507,958.721436,1421.01147,1454,1343,1673,1435,829,1368,1096,1475
004_15,HP_004,15,004_15.png,004_15.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,11.0,0.0,1521.1958,1393.69641,914.3314,1429.30957,1524.50452,1387.12988,923.7672,1422.14893,1452,1341,1673,1432,829,1368,1096,1474
005_01,HP_005,1,005_01.png,005_01.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,11.0,-11.0,0.0,1484.563,1501.53076,843.887451,1477.90942,1476.53687,1505.97583,840.7901,1483.594,1339,1447,1574,1591,668,1425,951,1576
005_02,HP_005,2,005_02.png,005_02.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,0.0,-11.0,0.0,1451.70251,1497.3645,807.6313,1473.44861,1448.98889,1502.50415,810.436157,1479.87744,1339,1445,1574,1590,668,1422,951,1575
005_03,HP_005,3,005_03.png,005_03.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,-11.0,-11.0,0.0,1414.05237,1496.24,765.27594,1472.20142,1417.46533,1501.57007,774.991,1478.8363,1339,1445,1574,1590,668,1420,951,1575
005_04,HP_005,4,005_04.png,005_04.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,-11.0,-5.5,0.0,1411.666,1514.043,762.14,1491.64392,1415.47461,1516.47839,772.3898,1495.11523,1339,1455,1573,1594,668,1430,950,1578
005_05,HP_005,5,005_05.png,005_05.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,0.0,-5.5,0.0,1451.68542,1514.80273,807.6,1492.36255,1448.9696,1517.1106,810.4158,1495.71411,1339,1455,1573,1594,668,1432,950,1579
005_06,HP_005,6,005_06.png,005_06.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,11.0,-5.5,0.0,1486.16614,1517.33472,845.6692,1494.95374,1477.87061,1519.22217,842.277466,1497.87134,1339,1457,1573,1594,668,1434,951,1579
005_07,HP_005,7,005_07.png,005_07.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,11.0,0.0,0.0,1487.13757,1534.77368,846.8089,1513.78857,1478.67859,1533.83228,843.228638,1513.64014,1339,1472,1573,1601,668,1448,950,1584
005_08,HP_005,8,005_08.png,005_08.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,0.0,0.0,0.0,1451.65491,1534.52942,807.579346,1513.95081,1448.94128,1533.62329,810.4023,1513.77515,1339,1471,1573,1601,668,1450,948,1585
005_09,HP_005,9,005_09.png,005_09.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,-11.0,0.0,0.0,1410.09326,1534.23438,760.0338,1514.15869,1414.16309,1533.375,770.6437,1513.94873,1337,1472,1573,1600,668,1450,948,1586
005_10,HP_005,10,005_10.png,005_10.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,-11.0,5.5,0.0,1409.7,1555.3833,759.509338,1537.95215,1413.83484,1551.06934,770.209,1533.84509,1336,1498,1571,1608,669,1481,947,1598
005_11,HP_005,11,005_11.png,005_11.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,0.0,5.5,0.0,1451.60864,1555.1554,807.5741,1536.64478,1448.90234,1550.8855,810.3987,1532.75537,1338,1497,1572,1610,669,1476,947,1595
005_12,HP_005,12,005_12.png,005_12.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,11.0,5.5,0.0,1487.27148,1552.80737,847.1038,1533.34119,1478.79077,1548.93945,843.4747,1530.0061,1338,1493,1572,1609,669,1469,949,1591
005_13,HP_005,13,005_13.png,005_13.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,11.0,11.0,0.0,1486.514,1570.13513,846.497742,1552.27783,1478.16223,1563.46,842.969055,1545.85962,1337,1513,1570,1618,669,1496,950,1600
005_14,HP_005,14,005_14.png,005_14.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,0.0,11.0,0.0,1451.548,1574.83081,807.585632,1558.34253,1448.854,1567.35913,810.4064,1550.908,1337,1518,1570,1620,669,1503,947,1606
005_15,HP_005,15,005_15.png,005_15.png,12.5747,22.2863,-0.15007,-12.0238,10.0601,38.1585,-11.0,11.0,0.0,1410.6001,1575.5752,760.724,1560.53479,1414.58423,1567.9696,771.2153,1552.736,1336,1519,1570,1617,669,1507,947,1609
006_01,HP_006,1,006_01.png,006_01.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,11.0,-11.0,0.0,1793.61853,603.3285,1196.17151,533.5065,1785.43127,607.8916,1192.744,539.470459,1644,553,1876,698,1031,486,1289,632
006_02,HP_006,2,006_02.png,006_02.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,0.0,-11.0,0.0,1758.75879,599.5868,1159.6344,529.334961,1756.22327,604.776855,1162.1637,535.9971,1644,550,1876,698,1031,483,1287,632
006_03,HP_006,3,006_03.png,006_03.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,-11.0,-11.0,0.0,1720.70215,599.842163,1118.64673,529.1946,1724.3717,604.9927,1127.86377,535.876,1644,551,1876,698,1031,482,1287,632
006_04,HP_006,4,006_04.png,006_04.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,-11.0,-5.5,0.0,1720.2926,618.7362,1118.01709,549.2759,1724.02966,620.8058,1127.34131,552.681641,1644,561,1875,701,1031,493,1285,635
006_05,HP_006,5,006_05.png,006_05.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,0.0,-5.5,0.0,1758.75024,618.674438,1159.62524,549.328735,1756.2157,620.75354,1162.15686,552.7274,1644,559,1875,700,1031,492,1286,634
006_06,HP_006,6,006_06.png,006_06.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,11.0,-5.5,0.0,1793.93713,620.677368,1196.55676,551.4741,1785.6969,622.4231,1193.06567,554.51355,1644,560,1875,700,1031,493,1289,634
006_07,HP_006,7,006_07.png,006_07.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,11.0,0.0,0.0,1793.36633,638.3478,1196.09,569.8362,1785.22388,637.2241,1192.67627,569.8845,1644,572,1875,704,1031,505,1288,638
006_08,HP_006,8,006_08.png,006_08.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,0.0,0.0,0.0,1758.73071,638.2009,1159.62793,569.9,1756.201,637.097046,1162.15808,569.9381,1644,574,1874,705,1031,508,1284,641
006_09,HP_006,9,006_09.png,006_09.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,-11.0,0.0,0.0,1720.93616,638.0288,1118.7019,569.976563,1724.56555,636.9525,1127.9093,570.0022,1643,578,1874,705,1031,511,1284,642
006_10,HP_006,10,006_10.png,006_10.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,-11.0,5.5,0.0,1722.50513,656.186768,1120.52441,589.436035,1725.87378,652.1571,1129.42188,586.2905,1643,599,1873,712,1032,537,1284,651
006_11,HP_006,11,006_11.png,006_11.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,0.0,5.5,0.0,1758.70215,656.5255,1159.64148,589.2798,1756.18115,652.4425,1162.16565,586.1581,1643,595,1873,713,1032,530,1284,648
006_12,HP_006,12,006_12.png,006_12.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,11.0,5.5,0.0,1792.00684,655.0663,1194.85938,587.348145,1784.095,651.2335,1191.64929,584.5482,1643,589,1874,711,1031,522,1286,645
006_13,HP_006,13,006_13.png,006_13.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,11.0,11.0,0.0,1790.09668,669.894531,1193.07654,603.0685,1782.5072,663.6686,1190.16077,597.7195,1643,607,1872,718,1032,544,1286,651
006_14,HP_006,14,006_14.png,006_14.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,0.0,11.0,0.0,1758.66833,672.4938,1159.66223,606.227051,1756.1582,665.8274,1162.1781,600.353638,1642,613,1872,721,1032,553,1284,656
006_15,HP_006,15,006_15.png,006_15.png,-7.1702,12.9518,-5.8237,-7.5157,-3.3481,41.5735,-11.0,11.0,0.0,1724.70068,672.1105,1123.07922,606.3699,1727.70581,665.5029,1131.54321,600.4767,1642,615,1872,720,1032,556,1284,660
007_01,HP_007,1,007_01.png,007_01.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,11.0,-11.0,0.0,1850.0365,959.8815,1162.838,957.135864,1839.90283,966.042847,1158.43982,964.097534,1674,914,1936,1072,976,916,1255,1076
007_02,HP_007,2,007_02.png,007_02.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,0.0,-11.0,0.0,1806.26233,954.880859,1118.28577,951.256958,1803.24316,961.889038,1121.17041,959.204956,1674,911,1936,1072,976,911,1251,1075
007_03,HP_007,3,007_03.png,007_03.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,-11.0,-11.0,0.0,1758.52356,955.9957,1067.96863,951.1295,1763.31519,962.8225,1079.08508,959.0913,1674,914,1936,1072,976,908,1252,1075
007_04,HP_007,4,007_04.png,007_04.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,-11.0,-5.5,0.0,1756.55933,978.8146,1065.338,974.991333,1761.679,981.911743,1076.905,979.0554,1675,921,1936,1074,976,917,1251,1077
007_05,HP_007,5,007_05.png,007_05.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,0.0,-5.5,0.0,1806.30164,978.1301,1118.26428,975.1654,1803.27148,981.339355,1121.1571,979.2042,1675,920,1936,1074,976,919,1251,1078
007_06,HP_007,6,007_06.png,007_06.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,11.0,-5.5,0.0,1851.72729,980.918945,1164.46582,978.5725,1841.30737,983.6575,1159.79663,982.0387,1675,922,1936,1074,977,923,1255,1078
007_07,HP_007,7,007_07.png,007_07.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,11.0,0.0,0.0,1852.05774,1003.60876,1164.88147,1001.64905,1841.583,1002.64832,1160.14307,1001.34375,1675,939,1936,1079,977,936,1254,1083
007_08,HP_007,8,007_08.png,007_08.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,0.0,0.0,0.0,1806.32349,1003.62939,1118.25964,1001.56873,1803.28918,1002.66064,1121.15454,1001.27527,1675,938,1936,1080,977,934,1251,1083
007_09,HP_007,9,007_09.png,007_09.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,-11.0,0.0,0.0,1756.18518,1003.62732,1064.62939,1001.463,1761.36682,1002.65894,1076.318,1001.18713,1675,937,1936,1079,977,935,1251,1083
007_10,HP_007,10,007_10.png,007_10.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,-11.0,5.5,0.0,1757.54321,1027.95471,1066.08875,1027.56433,1762.49658,1023.00562,1077.526,1023.01233,1675,963,1935,1087,977,961,1251,1094
007_11,HP_007,11,007_11.png,007_11.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,0.0,5.5,0.0,1806.32507,1028.59619,1118.274,1027.61157,1803.29431,1023.54236,1121.16345,1023.048,1675,963,1935,1090,977,959,1251,1090
007_12,HP_007,12,007_12.png,007_12.png,-4.0864,8.4311,-0.17547,-5.8919,1.9746,37.6259,11.0,5.5,0.0,1850.91626,1025.877,1163.97937,1024.47607,1840.6377,1021.29077,1159.39185,1020.442,1675,961,1935,1088,977,956,1256,1089
