sample_id,hp_folder,image_number,left_image,right_image,head_rot_x,head_rot_y,head_rot_z,head_pos_x,head_pos_y,head_pos_z,look_at_x,look_at_y,look_at_z,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,left_iris_x,left_iris_y,right_iris_x,right_iris_y,left_crop_xmin,left_crop_ymin,left_crop_xmax,left_crop_ymax,right_crop_xmin,right_crop_ymin,right_crop_xmax,right_crop_ymax,gaze_world_x,gaze_world_y,gaze_world_z,gaze_world_yaw,gaze_world_pitch,target_horizontal,target_vertical,target_direction,head_yaw,head_pitch,head_roll,relative_yaw,relative_pitch
001_11,HP_001,11,001_11.png,001_11.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,5.5,0.0,1454.19458,654.273438,855.3106,655.3219,1451.61462,650.729,857.830566,652.1146,1341,597,1569,709,728,594,982,713,0.259019195357734,0.1879438061352734,-0.9474102501934518,15.29083284344967,10.8328113329164,CENTER,UP,UP_CENTER,16.9408,-7.5351,0.79365,-1.9483837459929292,3.532773716531871
001_12,HP_001,12,001_12.png,001_12.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,5.5,0.0,1484.46265,652.5897,887.7626,653.181763,1476.99512,649.3314,885.005,650.3313,1341,595,1569,709,728,591,984,711,0.463822251977617,0.1723879593272048,-0.8689944246365531,28.09088941500851,9.926689176328557,RIGHT,UP,UP_RIGHT,16.9408,-7.5351,0.79365,10.696505637219987,3.4120942365056037
001_13,HP_001,13,001_13.png,001_13.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,11.0,11.0,0.0,1482.94873,666.249,886.311951,667.8806,1475.736,660.7881,883.793335,662.649658,1340,614,1568,716,729,610,985,717,0.4522571866361743,0.2783898649749113,-0.8473266903710652,28.09088941500851,16.16413030127755,RIGHT,UP,UP_RIGHT,16.9408,-7.5351,0.79365,10.220109127728088,9.631569673657063
001_14,HP_001,14,001_14.png,001_14.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,0.0,11.0,0.0,1454.17554,669.265259,855.320068,671.455566,1451.60315,663.2971,857.8341,665.6306,1340,617,1568,717,729,616,983,721,0.251395856768232,0.3021111671685343,-0.9195264900326866,15.29083284344967,17.584448933606808,CENTER,UP,UP_CENTER,16.9408,-7.5351,0.79365,-2.280461229915271,10.276367680165015
001_15,HP_001,15,001_15.png,001_15.png,-7.5351,16.9408,0.79365,-11.5513,-2.8816,42.251,-11.0,11.0,0.0,1421.42578,669.8965,819.6928,672.6841,1424.16638,663.8179,828.002441,666.6575,1340,618,1568,715,729,619,983,724,0.0123953390232713,0.312111623771891,-0.9499645729588928,0.7475650468801138,18.186532917491,LEFT,UP,UP_LEFT,16.9408,-7.5351,0.79365,-16.359879928552562,10.4294427596159
002_01,HP_002,1,002_01.png,002_01.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,-11.0,0.0,1527.031,797.1599,854.8008,754.158569,1517.90479,802.457031,850.723,761.0427,1377,744,1615,894,667,704,965,862,0.5029236368687171,-0.2511748812471432,-0.8270302258740161,31.30411595288241,-14.547046491424153,RIGHT,DOWN,DOWN_RIGHT,24.595,-1.8442,-1.7234,6.474891670225552,-16.322402780240584
002_02,HP_002,2,002_02.png,002_02.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,-11.0,0.0,1488.5116,791.394653,811.531,747.4044,1485.62659,797.659668,814.525,755.424561,1377,742,1615,894,667,699,965,861,0.2881927870111289,-0.2782709149369898,-0.9162479006332775,17.460229411043244,-16.157034581564698,CENTER,DOWN,DOWN_CENTER,24.595,-1.8442,-1.7234,-7.513580715246421,-17.698273621936
002_03,HP_002,3,002_03.png,002_03.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,-11.0,0.0,1443.62842,790.282,759.243042,745.5679,1448.07654,796.738647,770.8104,753.8938,1375,743,1615,894,667,698,965,861,0.0200549833428539,-0.2905419435975069,-0.9566520666646264,1.200956605483368,-16.890404175575732,LEFT,DOWN,DOWN_LEFT,24.595,-1.8442,-1.7234,-23.90642392857529,-18.042970080974882
002_04,HP_002,4,002_04.png,002_04.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,-5.5,0.0,1442.22034,812.325562,757.121643,770.3761,1446.90308,815.181,769.05304,774.6411,1376,754,1615,898,667,709,964,865,0.0207058408499476,-0.1549906654837425,-0.98769892263159,1.2009566054833678,-8.916254882249687,LEFT,DOWN,DOWN_LEFT,24.595,-1.8442,-1.7234,-23.67779585283927,-10.071899618292269
002_05,HP_002,5,002_05.png,002_05.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,-5.5,0.0,1488.45386,813.0316,811.4842,771.353,1485.57568,815.767334,814.489258,775.4542,1377,752,1615,898,667,710,964,865,0.2967375897855885,-0.1480414783880033,-0.9434142904816176,17.460229411043244,-8.513444382675141,CENTER,DOWN,DOWN_CENTER,24.595,-1.8442,-1.7234,-7.349565147695184,-10.056339181209184
002_06,HP_002,6,002_06.png,002_06.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,-5.5,0.0,1527.8761,816.244141,855.8376,774.997437,1518.60718,818.4431,851.5876,778.4846,1377,755,1615,898,667,713,965,865,0.5149723967132324,-0.1328875359142712,-0.8468437479382265,31.304115952882405,-7.636484013480367,RIGHT,DOWN,DOWN_RIGHT,24.595,-1.8442,-1.7234,6.57065398846456,-9.412470048596283
002_07,HP_002,7,002_07.png,002_07.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,0.0,0.0,1527.65881,836.229736,855.777954,796.903931,1518.42749,835.181152,851.538,796.8148,1376,770,1614,905,667,730,964,871,0.5195610125258868,-0.0086591601898885,-0.8543894739566266,31.304115952882405,-0.4961395333176618,RIGHT,CENTER,CENTER_RIGHT,24.595,-1.8442,-1.7234,6.665671656412114,-2.2727504166730474
002_08,HP_002,8,002_08.png,002_08.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,0.0,0.0,1488.376,836.006,811.4587,797.046143,1485.51135,834.9884,814.4679,796.9332,1376,771,1614,905,667,731,963,872,0.3000297042959644,-0.0096674965174487,-0.9538808709955144,17.460229411043244,-0.5539153773360561,CENTER,CENTER,CENTER_CENTER,24.595,-1.8442,-1.7234,-7.1867854137920455,-2.098453449727179
002_09,HP_002,9,002_09.png,002_09.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,0.0,0.0,1442.32751,835.7268,757.1505,797.233032,1446.99121,834.7533,769.0762,797.089355,1374,773,1614,904,667,733,963,873,0.0209580362675526,-0.0101321633005768,-0.9997290132744264,1.200956605483368,-0.5805401278618609,LEFT,CENTER,CENTER_LEFT,24.595,-1.8442,-1.7234,-23.45051737379238,-1.7392454909670854
002_10,HP_002,10,002_10.png,002_10.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,5.5,0.0,1443.93042,858.178833,759.3224,822.9758,1448.32532,853.5394,770.8744,818.6134,1373,801,1613,913,668,767,963,886,0.0207662040998178,0.1353636620523131,-0.990578338024344,1.2009566054833678,7.779649221774544,LEFT,UP,UP_LEFT,24.595,-1.8442,-1.7234,-23.224583665961777,6.617901345825871
002_11,HP_002,11,002_11.png,002_11.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,5.5,0.0,1488.28235,858.046265,811.456055,821.7932,1485.43713,853.4354,814.461731,817.6271,1376,798,1613,915,668,760,963,883,0.2975265251847817,0.1292613966804444,-0.9459225434144648,17.460229411043244,7.426913352023714,CENTER,UP,UP_CENTER,24.595,-1.8442,-1.7234,-7.025230196497916,5.880744369088192
002_12,HP_002,12,002_12.png,002_12.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,5.5,0.0,1526.39771,855.5416,854.626343,818.2234,1517.38074,851.3601,850.577759,814.65686,1376,792,1613,913,668,752,964,878,0.5160747427032836,0.1159698800257395,-0.8486564952149693,31.304115952882405,6.659569393822889,RIGHT,UP,UP_RIGHT,24.595,-1.8442,-1.7234,6.75995280946904,4.882338505912904
002_13,HP_002,13,002_13.png,002_13.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,11.0,11.0,0.0,1524.33386,872.8589,852.6107,837.533447,1515.66626,865.87854,848.8964,830.827,1375,813,1612,922,668,779,964,886,0.504983179902427,0.2353710744271028,-0.8304170309782094,31.304115952882405,13.613497343525143,RIGHT,UP,UP_RIGHT,24.595,-1.8442,-1.7234,6.853505473358691,11.835651241131336
002_14,HP_002,14,002_14.png,002_14.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,0.0,11.0,0.0,1488.181,877.3164,811.4717,843.4116,1485.35876,869.5803,814.46814,835.7213,1375,818,1611,924,669,789,963,894,0.2896433718124054,0.2610058987307028,-0.9208597276420112,17.460229411043244,15.129756980459,CENTER,UP,UP_CENTER,24.595,-1.8442,-1.7234,-6.864888270509364,13.581969330522742
002_15,HP_002,15,002_15.png,002_15.png,-1.8442,24.595,-1.7234,-11.7855,0.37975,37.4695,-11.0,11.0,0.0,1446.62427,877.8142,762.971558,845.1089,1450.57,869.9861,773.897766,837.1389,1373,820,1611,921,669,792,963,897,0.0201651019087889,0.2726396225930173,-0.9619048834772308,1.2009566054833678,15.821400338824054,LEFT,UP,UP_LEFT,24.595,-1.8442,-1.7234,-22.99998979352224,14.656627974254254
003_01,HP_003,1,003_01.png,003_01.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,-11.0,0.0,1593.52356,1218.2655,988.0048,1224.104,1585.67944,1222.75879,984.7828,1229.56128,1459,1172,1680,1316,820,1181,1095,1333,0.4584544752351184,-0.333773127987065,-0.8236595128878332,29.10060923897236,-19.497949755185005,RIGHT,DOWN,DOWN_RIGHT,24.6328,-0.58255,-0.58462,4.35722758056732,-20.052209461807152
003_02,HP_003,2,003_02.png,003_02.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,-11.0,0.0,1561.35657,1214.68652,951.9295,1219.61523,1558.71448,1219.77869,954.583252,1225.82031,1459,1173,1680,1316,820,1177,1096,1332,0.2529324796803079,-0.3633550545046875,-0.8966595034285123,15.75286159187966,-21.30638495662215,CENTER,DOWN,DOWN_CENTER,24.6328,-0.58255,-0.58462,-9.048490475793686,-21.776190147495353
003_03,HP_003,3,003_03.png,003_03.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,-11.0,0.0,1525.03882,1214.25745,910.4386,1218.523,1528.30713,1219.42542,919.8613,1224.90662,1458,1174,1680,1316,820,1176,1096,1331,0.0070058296031174,-0.3755577999262472,-0.926772494880016,0.433112575885163,-22.05879246868369,LEFT,DOWN,DOWN_LEFT,24.6328,-0.58255,-0.58462,-24.418792576857047,-22.400666560616433
003_04,HP_003,4,003_04.png,003_04.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,-5.5,0.0,1523.3031,1231.78882,908.0158,1237.76807,1526.85889,1234.10547,917.8508,1241.01782,1458,1179,1680,1317,821,1183,1095,1334,0.0073015719307939,-0.2588309621977774,-0.9658950357337552,0.433112575885163,-15.00070688698066,LEFT,DOWN,DOWN_LEFT,24.6328,-0.58255,-0.58462,-24.345910955030536,-15.342917330712528
003_05,HP_003,5,003_05.png,003_05.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,-5.5,0.0,1561.312,1231.968,951.8722,1238.51538,1558.67358,1234.25244,954.5393,1241.64233,1460,1179,1680,1317,821,1184,1095,1334,0.2628862834139906,-0.2497337125453983,-0.9319462832218772,15.75286159187966,-14.461755231202256,CENTER,DOWN,DOWN_CENTER,24.6328,-0.58255,-0.58462,-8.992778386133821,-14.931764355430916
003_06,HP_003,6,003_06.png,003_06.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,-5.5,0.0,1594.71912,1233.93958,989.390259,1241.1604,1586.67358,1235.895,985.9394,1243.84607,1460,1179,1680,1318,821,1186,1095,1334,0.4735374569190383,-0.2279775764551911,-0.8507576044492741,29.10060923897236,-13.178032402107194,RIGHT,DOWN,DOWN_RIGHT,24.6328,-0.58255,-0.58462,4.393359998831855,-13.73238655467588
003_07,HP_003,7,003_07.png,003_07.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,0.0,0.0,1595.21362,1250.86108,990.05,1259.636,1587.085,1250.07178,986.4896,1259.313,1459,1191,1679,1322,821,1196,1094,1338,0.4832035268464206,-0.1134709007127074,-0.8681236699541299,29.10060923897236,-6.515436797724695,RIGHT,CENTER,CENTER_RIGHT,24.6328,-0.58255,-0.58462,4.429408494147678,-7.069885176837148
003_08,HP_003,8,003_08.png,003_08.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,0.0,0.0,1561.25146,1250.94092,951.8281,1259.51526,1558.62146,1250.13525,954.504639,1259.21069,1459,1190,1679,1321,821,1196,1094,1337,0.2693654771088017,-0.1248152907492447,-0.9549153799877396,15.752861591879658,-7.170089184123923,CENTER,CENTER,CENTER_CENTER,24.6328,-0.58255,-0.58462,-8.937187068497565,-7.6403017994306595
003_09,HP_003,9,003_09.png,003_09.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,0.0,0.0,1522.46448,1251.01709,906.772949,1259.35364,1526.15918,1250.198,916.8197,1259.07556,1458,1191,1679,1321,821,1197,1094,1337,0.007495415049975,-0.12960213530122,-0.9915377477830044,0.4331125758851629,-7.446601850143731,LEFT,CENTER,CENTER_LEFT,24.6328,-0.58255,-0.58462,-24.27314869040364,-7.789148094295573
003_10,HP_003,10,003_10.png,003_10.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,5.5,0.0,1522.71777,1270.46436,907.043945,1281.38464,1526.36951,1266.47424,917.0437,1277.50415,1457,1210,1679,1327,821,1217,1094,1346,0.0075590061704999,0.0065533014868712,-0.9999499565804962,0.433112575885163,0.3754792046472231,LEFT,UP,UP_LEFT,24.6328,-0.58255,-0.58462,-24.200505724130405,0.03259771091022145
003_11,HP_003,11,003_11.png,003_11.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,5.5,0.0,1561.175,1270.13586,951.8021,1280.91052,1558.55859,1266.2041,954.482239,1277.10852,1459,1209,1679,1328,821,1215,1094,1345,0.2714831182432418,0.0063073606641371,-0.9624225338750017,15.75286159187966,0.3613875421168619,CENTER,UP,UP_CENTER,24.6328,-0.58255,-0.58462,-8.881716234924134,-0.10902812314137425
003_12,HP_003,12,003_12.png,003_12.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,5.5,0.0,1594.88757,1267.92993,989.8513,1278.3678,1586.81445,1264.37256,986.324158,1274.99353,1459,1208,1679,1328,821,1213,1094,1343,0.4863366977376235,0.005726251600729,-0.8737527261624244,29.10060923897235,0.3280918421880525,RIGHT,UP,UP_RIGHT,24.6328,-0.58255,-0.58462,4.465373330120728,-0.22645054477327922
003_13,HP_003,13,003_13.png,003_13.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,11.0,11.0,0.0,1593.7832,1283.96509,988.826538,1296.09021,1585.89685,1277.813,985.4688,1289.83423,1458,1229,1678,1336,822,1234,1094,1349,0.48254968482167,0.1246806833978251,-0.8669489770834028,29.10060923897236,7.1623160306892615,RIGHT,UP,UP_RIGHT,24.6328,-0.58255,-0.58462,4.501254769398562,6.60767985386882
003_14,HP_003,14,003_14.png,003_14.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,0.0,11.0,0.0,1561.0874,1287.94775,951.7947,1300.79346,1558.48853,1281.12354,954.472961,1293.74951,1458,1234,1678,1336,822,1241,1094,1355,0.2689246520086151,0.1371068663497726,-0.9533526308464204,15.752861591879658,7.880467462048499,CENTER,UP,UP_CENTER,24.6328,-0.58255,-0.58462,-8.826365597796165,7.409849186817043
003_15,HP_003,15,003_15.png,003_15.png,-0.58255,24.6328,-0.58462,-11.3029,5.2374,40.0694,-11.0,11.0,0.0,1524.0061,1288.52063,908.751953,1301.71729,1527.44312,1281.59521,918.459534,1294.52148,1456,1235,1678,1334,822,1244,1094,1356,0.0074821921866351,0.1423469154661734,-0.9897885493666556,0.433112575885163,8.18367497333174,LEFT,UP,UP_LEFT,24.6328,-0.58255,-0.58462,-24.127981996023554,7.840458780296517
004_01,HP_004,1,004_01.png,004_01.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,-11.0,0.0,1588.5791,1326.21851,990.5305,1353.73535,1580.958,1330.61633,987.539856,1358.8894,1454,1272,1674,1409,827,1299,1095,1447,0.4401681625218162,-0.3918670202061149,-0.8078936979435775,28.58306188494666,-23.07072083477044,RIGHT,DOWN,DOWN_RIGHT,23.5103,9.0383,4.9419,4.921067732648984,-14.707331092295705
004_02,HP_004,2,004_02.png,004_02.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,-11.0,0.0,1557.73962,1322.58008,956.2505,1349.9812,1555.10278,1327.58447,958.8378,1355.76062,1454,1271,1674,1408,827,1297,1095,1446,0.2359887969650999,-0.4240923569876834,-0.874331150338129,15.104651259251575,-25.093226084858845,CENTER,DOWN,DOWN_CENTER,23.5103,9.0383,4.9419,-7.804792367424867,-17.082488848434846
004_03,HP_004,3,004_03.png,004_03.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,-11.0,0.0,1523.03918,1321.76233,917.046448,1349.31763,1526.04419,1326.9054,926.0235,1355.20581,1452,1271,1674,1408,827,1295,1095,1446,-0.0045154595098839,-0.4364142144136884,-0.8997345408969791,-0.2875454799815766,-25.87531672715285,LEFT,DOWN,DOWN_LEFT,23.5103,9.0383,4.9419,-22.319209666829607,-18.773212817317685
004_04,HP_004,4,004_04.png,004_04.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,-5.5,0.0,1521.2395,1338.40918,914.607,1367.52454,1524.54236,1340.8479,923.9983,1370.45068,1453,1280,1674,1411,827,1305,1095,1448,-0.0047404078878193,-0.3283133791667967,-0.9445569615397138,-0.2875454799815766,-19.16643640541171,LEFT,DOWN,DOWN_LEFT,23.5103,9.0383,4.9419,-22.894786106040936,-12.087282176423239
004_05,HP_004,5,004_05.png,004_05.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,-5.5,0.0,1557.72144,1339.0022,956.1964,1367.83313,1555.08374,1341.34143,958.7969,1370.70825,1455,1281,1674,1412,827,1306,1095,1449,0.2470439171127254,-0.3181406455735964,-0.9152900265225314,15.104651259251575,-18.55051621691544,CENTER,DOWN,DOWN_CENTER,23.5103,9.0383,4.9419,-8.112727029392252,-10.546607138595897
004_06,HP_004,6,004_06.png,004_06.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,-5.5,0.0,1589.8584,1341.19788,991.976746,1369.92871,1582.02185,1343.17224,988.7472,1372.45386,1455,1283,1674,1413,827,1309,1095,1450,0.4575920393273943,-0.2919271464150063,-0.8398738397701097,28.58306188494666,-16.97336674764333,RIGHT,DOWN,DOWN_RIGHT,23.5103,9.0383,4.9419,4.852821741749573,-8.610342958251694
004_07,HP_004,7,004_07.png,004_07.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,0.0,0.0,1590.518,1357.4884,992.7913,1387.59692,1582.57056,1356.82178,989.4271,1387.24707,1455,1300,1674,1420,828,1323,1095,1455,0.470490408692394,-0.1814497740705083,-0.8635477721691057,28.58306188494666,-10.454216438526997,RIGHT,CENTER,CENTER_RIGHT,23.5103,9.0383,4.9419,4.782217488991294,-2.0915712474739747
004_08,HP_004,8,004_08.png,004_08.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,0.0,0.0,1557.69019,1357.19556,956.1516,1387.81348,1555.05579,1356.57385,958.761963,1387.427,1455,1297,1674,1418,828,1322,1095,1455,0.2553810211773732,-0.1988122993499791,-0.9461787376862664,15.104651259251572,-11.467514126569254,CENTER,CENTER,CENTER_CENTER,23.5103,9.0383,4.9419,-8.431849875285907,-3.4706811350904925
004_09,HP_004,9,004_09.png,004_09.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,0.0,0.0,1520.21826,1356.85791,913.154846,1388.08044,1523.69019,1356.29053,922.792969,1387.65015,1454,1295,1674,1416,827,1320,1095,1454,-0.0049113476345283,-0.205628439732288,-0.9786178127531082,-0.2875454799815766,-11.866289779486856,LEFT,CENTER,CENTER_LEFT,23.5103,9.0383,4.9419,-23.489616456829967,-4.810850878537537
004_10,HP_004,10,004_10.png,004_10.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,-11.0,5.5,0.0,1520.20081,1375.80127,913.0536,1409.34741,1523.67517,1372.14575,922.7082,1405.44165,1453,1317,1674,1424,828,1345,1095,1464,-0.0050053997926232,-0.0724661241889196,-0.9973583141569292,-0.2875454799815766,-4.15564561736805,LEFT,UP,UP_LEFT,23.5103,9.0383,4.9419,-24.10454837800941,2.875277378145034
004_11,HP_004,11,004_11.png,004_11.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,0.0,5.5,0.0,1557.64514,1375.86084,956.121033,1408.44824,1555.01843,1372.20007,958.7363,1404.69055,1455,1321,1674,1427,828,1346,1095,1465,0.2599441135423644,-0.0699758808503414,-0.9630848529251684,15.104651259251575,-4.01260189553954,CENTER,UP,UP_CENTER,23.5103,9.0383,4.9419,-8.762761012668568,3.976893675358024
004_12,HP_004,12,004_12.png,004_12.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,5.5,0.0,1590.41846,1374.1001,992.8235,1405.71045,1582.48828,1370.74,989.4541,1402.41138,1455,1321,1674,1428,828,1344,1095,1462,0.4774614444958482,-0.0636733533934218,-0.8763425546483374,28.58306188494666,-3.650684082097478,RIGHT,UP,UP_RIGHT,23.5103,9.0383,4.9419,4.70913081556644,4.711569199325341
004_13,HP_004,13,004_13.png,004_13.png,9.0383,23.5103,4.9419,-10.7992,8.4071,40.0107,11.0,11.0,0.0,1589.56128,1389.90259,992.0612,1423.07471,1581.776,1383.98486,988.8178,1416.95215,1454,1341,1673,1436,829,1365,1095,1470,0.4776594798899289,0.0568150787830102,-0.8767060328834078,28.58306188494666,3.257018082530313,RIGHT,UP,UP_RIGHT,23.5103,9.0383,4.9419,4.633428708077155,11.61886542945264
